Unnamed: 0,Dividend,ID,Index,LastTradeDateTime,LastTradeDateTimeLong,LastTradePrice,LastTradeTime,LastTradeWithCurrency,StockSymbol,Yield,Name Of Company,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,22144,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",164.05,4:00PM EDT,164.05,AAPL,,Apple Inc.,,,,,,,,,,,
1,,694653,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",951.99,4:00PM EDT,951.99,GOOGL,,Alphabet Inc.,,,,,,,,,,,
2,,660463,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",978.25,4:00PM EDT,978.25,AMZN,,"Amazon.com, Inc.",,,,,,,,,,,
3,,296878244325128,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",172.02,4:00PM EDT,172.02,FB,,"Facebook, Inc. ",,,,,,,,,,,
4,,1123549994770601,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT","1,975.00",4:00PM EDT,"1,975.00",SSNLF,,Samsung Electronics Co Ltd.,,,,,,,,,,,
5,,358464,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",73.94,4:00PM EDT,73.94,MSFT,,Microsoft Corporation,,,,,,,,,,,
6,,33095,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",39.72,4:02PM EDT,39.72,SNE,,Sony Corporation,,,,,,,,,,,
7,,18241,NYSE,2017-09-01T16:00:05Z,"Sep 1, 4:00PM EDT",144.08,4:00PM EDT,144.08,IBM,,IBM,,,,,,,,,,,
8,,685139,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",41.86,4:00PM EDT,41.86,NTDOY,,"Nintendo Co., Ltd.",,,,,,,,,,,
9,,419344,NYSE,2017-09-01T16:02:15Z,"Sep 1, 4:02PM EDT",50.62,4:02PM EDT,50.62,ORCL,,Oracle Corporation,,,,,,,,,,,
10,,718288,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",107.48,4:02PM EDT,107.48,VMW,,"VMware, Inc.",,,,,,,,,,,
11,,284784,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",35.09,4:00PM EDT,35.09,INTC,,Intel Corporation,,,,,,,,,,,
12,,17154,NYSE,2017-09-01T16:04:21Z,"Sep 1, 4:04PM EDT",19.36,4:04PM EDT,19.36,HPQ,,HP Inc.,,,,,,,,,,,
13,,420424055286581,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",74.76,4:02PM EDT,74.76,DVMT,,Dell Technologies Inc.,,,,,,,,,,,
14,,99624,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",32.30,4:00PM EDT,32.30,CSCO,,"Cisco Systems, Inc.",,,,,,,,,,,
15,,4112,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",155.06,4:00PM EDT,155.06,ADBE,,Adobe Systems Incorporated,,,,,,,,,,,
16,,662102,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",105.34,4:02PM EDT,105.34,SAP,,SAP SE ,,,,,,,,,,,
